name,price,tags
anjeer c,70,Anjeer cream milk
apple c,110,Apple cream milk
apple d,180,Apple dryfruit crush
chiku c,70,Chiku cream milk
chiku choco,160,Chiku with chocolate
chiku d,180,Chiku dryfruit
chiku,160,Plain Chiku
choco c,180,Chocolate cream milk
dark choco c,200,Dark chocolate cream milk
dark choco d,180,Dark chocolate dryfruit
fs1,210,Mango fruit salad custurd
fs2,210,Anjeer fruit salad custurd
fs3,210,Strawberry fruit salad custurd
fs4,210,Mixed fruit salad custurd
guava c,180,Guava cream milk
kaju c,180,Kaju cream milk
mango,160,Plain Mango
mix fruit d,200,Mix fruit dryfruit
mixed fruit,180,Plain mixed fruit
papaya c,110,Papaya cream milk
papaya d,180,Papaya dryfruit
strawberry c,200,Strawberry cream milk
strawberry,160,Plain strawbrerry
